,#,SigC,SigH,EpsC,EpsH,prediction
0,0,0.2999999997239813,0.2499999986317319,0.4999999999719065,0.1250000000493048,700.6732348341227
1,1,0.2999999997567594,0.2499999986845644,0.4999999999735476,0.1250000000456779,700.4547601391953
2,2,0.2999999997278393,0.2499999986309647,0.4999999999718345,0.1250000000494138,700.7139807212496
3,3,0.2999996580451894,0.2499981247441549,0.4999999690844129,0.1250000645880875,700.1893192843903
4,4,0.2999996310995458,0.2499981130377657,0.4999999635320808,0.1250000662475655,700.489424480561
5,5,0.2999999997032549,0.2499999986361175,0.4999999999714284,0.1250000000501461,700.8147485938991
6,6,0.2999999998785036,0.2499999986676944,0.4999999999794066,0.1250000000458052,700.1473837743464
7,7,0.2999999997525105,0.2499999986268802,0.4999999999701068,0.1250000000629391,702.0883766872706
8,8,0.2999999998752991,0.249999998668002,0.4999999999787873,0.1250000000458558,700.1986781685723
9,9,0.2999999986477373,0.2499999917377383,0.4999999998276475,0.1250000003647098,701.8679573067911
